Time,FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,AccX,AccY,AccZ,Gyro1,Gyro2,Gyro3,Battery,Counter,Validation
529037.7042306,-750000.125,44360.52734375,-750000.125,-228161.609375,44807.91796875,45021.95703125,-750000.125,-750000.125,-0.355712890625,0.932861328125,-0.083984375,0.6408690810203552,2.593993902206421,-0.03051757626235485,73.33333587646484,831985.0,1.0
529037.7085317,-750000.125,44568.93359375,-750000.125,-228215.703125,44760.44140625,45117.71484375,-750000.125,-750000.125,-0.35400390625,0.93310546875,-0.083984375,0.7019042372703552,2.624511480331421,-0.0610351525247097,73.33333587646484,831986.0,1.0
529037.7085602,-750000.125,40688.671875,-750000.125,-227754.09375,43042.48828125,44185.82421875,-750000.125,-750000.125,-0.3525390625,0.932861328125,-0.083740234375,0.6103515028953552,2.532958745956421,0.03051757626235485,73.33333587646484,831987.0,1.0
529037.7143059,-750000.125,35293.2265625,-750000.125,-227424.09375,42201.52734375,43144.94921875,-750000.125,-750000.125,-0.353759765625,0.933837890625,-0.08251953125,0.6103515028953552,2.532958745956421,0.03051757626235485,73.33333587646484,831988.0,1.0
529037.7169577,-750000.125,40339.1796875,-750000.125,-227689.09375,43791.80859375,44637.59765625,-750000.125,-750000.125,-0.354736328125,0.93212890625,-0.08349609375,0.6103515028953552,2.532958745956421,-0.0915527269244194,73.33333587646484,831989.0,1.0
529037.7454078,-750000.125,44649.30859375,-750000.125,-228194.953125,45138.27734375,45293.7578125,-750000.125,-750000.125,-0.353271484375,0.932373046875,-0.083251953125,0.5798339247703552,2.532958745956421,0.0,73.33333587646484,831990.0,1.0
529037.7484965,-750000.125,44852.890625,-750000.125,-228252.1875,45131.75,45396.3046875,-750000.125,-750000.125,-0.3544921875,0.93212890625,-0.082763671875,0.6103515028953552,2.471923589706421,0.0915527269244194,73.33333587646484,831991.0,1.0
529037.7485148,-750000.125,41109.15234375,-750000.125,-227788.875,43617.28515625,44595.3984375,-750000.125,-750000.125,-0.351806640625,0.932373046875,-0.087158203125,0.5493163466453552,2.410888433456421,0.1525878757238388,73.33333587646484,831992.0,1.0
529037.7504572,-750000.125,35782.10546875,-750000.125,-227457.984375,42786.78515625,43642.9453125,-750000.125,-750000.125,-0.35205078125,0.931396484375,-0.08447265625,0.6103515028953552,2.380370855331421,0.03051757626235485,73.33333587646484,831993.0,1.0
529037.7530165,-750000.125,40758.9453125,-750000.125,-227723.703125,44289.625,44978.05859375,-750000.125,-750000.125,-0.35302734375,0.930908203125,-0.081787109375,0.7019042372703552,2.502441167831421,-0.0915527269244194,73.33333587646484,831994.0,1.0
529037.7579546,-750000.125,44931.74609375,-750000.125,-228226.515625,45442.08203125,45561.3515625,-750000.125,-750000.125,-0.35302734375,0.929931640625,-0.080810546875,0.7629393935203552,2.502441167831421,-0.1525878757238388,73.33333587646484,831995.0,1.0
529037.7604364,-750000.125,45127.546875,-750000.125,-228280.703125,45468.81640625,45664.79296875,-750000.125,-750000.125,-0.3515625,0.929931640625,-0.0810546875,0.7934569716453552,2.502441167831421,-0.3051757514476776,73.33333587646484,831996.0,1.0
529037.7629184,-750000.125,41524.26953125,-750000.125,-227818.46875,44168.66015625,44988.609375,-750000.125,-750000.125,-0.3515625,0.929931640625,-0.0810546875,0.8544921278953552,2.471923589706421,-0.3051757514476776,73.33333587646484,831997.0,1.0
529037.7654346,-750000.125,36276.703125,-750000.125,-227487.296875,43359.2578125,44132.984375,-750000.125,-750000.125,-0.353515625,0.930419921875,-0.0859375,0.8544921278953552,2.593993902206421,-0.3662109076976776,73.33333587646484,831998.0,1.0
529037.7679053,-750000.125,41180.765625,-750000.125,-227753.921875,44758.74609375,45311.63671875,-750000.125,-750000.125,-0.353515625,0.9306640625,-0.087158203125,0.9155272841453552,2.593993902206421,-0.3967284858226776,73.33333587646484,831999.0,1.0
529037.770539,-750000.125,45215.703125,-750000.125,-228256.828125,45733.01171875,45830.2890625,-750000.125,-750000.125,-0.355712890625,0.9326171875,-0.08740234375,0.8239745497703552,2.624511480331421,-0.3662109076976776,73.33333587646484,832000.0,1.0
529037.7729167,-750000.125,45407.5703125,-750000.125,-228313.421875,45791.9296875,45939.09375,-750000.125,-750000.125,-0.35546875,0.933349609375,-0.085693359375,0.8850097060203552,2.624511480331421,-0.4272460639476776,73.33333587646484,832001.0,1.0
529037.7760324,-750000.125,41936.8828125,-750000.125,-227852.359375,44701.61328125,45376.1875,-750000.125,-750000.125,-0.355224609375,0.93408203125,-0.087646484375,0.9460448622703552,2.655029058456421,-0.2136230319738388,73.33333587646484,832002.0,1.0
529037.7760598,-750000.125,36770.6796875,-750000.125,-227520.46875,43920.10546875,44615.6953125,-750000.125,-750000.125,-0.353515625,0.930908203125,-0.0849609375,0.8544921278953552,2.624511480331421,-0.0610351525247097,73.33333587646484,832003.0,1.0
529037.7779194,-750000.125,41592.93359375,-750000.125,-227786.734375,45193.3515625,45636.36328125,-750000.125,-750000.125,-0.35400390625,0.931640625,-0.083251953125,0.8239745497703552,2.502441167831421,-0.0915527269244194,73.33333587646484,832004.0,1.0
529037.7816658,-750000.125,45494.20703125,-750000.125,-228286.6875,46011.06640625,46095.19921875,-750000.125,-750000.125,-0.356689453125,0.933349609375,-0.0849609375,0.7324218153953552,2.471923589706421,0.0610351525247097,73.33333587646484,832005.0,1.0
